SubID,StudyTrial,TestTrial,Run,Valence,SoundID,ObjID,SceneID,ColStudy,SceStudy,Ques1,Ques2,ColTest,SceneTest,ColReinstatement,SceneReinstatement,EmotionResponse,EmotionRT,EmotionCorrect,EmotionConfidence,ColResp,ColRT,SceneResp,SceneRT,ColError,SceError,ColAbsError,SceAbsError,onsetEncoding,onsetRemember,onsetEmotion,onsetColor,onsetScene,EmotionMemory,ColorCorrect,SceneCorrect,ColorQuality,SceneQuality,MemoryQuantity,MemoryQuality
16,119,114,5,Neutral,8,134,1,360,333,1,2,279,111,81,138,4,0.430072177,1,1,6,4.178315129,339,2.474430991,6,6,6,6,161.0132071,554.0048077,558.004689,561.004624,568.0044676,1,1,1,0.882352941,0.818181818,3,2.700534759
16,118,115,5,Neutral,10,95,6,270,72,1,2,294,24,24,48,4,0.393459808,1,1,258,4.983715056,72,1.326795833,-12,0,12,0,154.0133717,575.5043477,579.5208972,582.504179,589.5040291,1,1,1,0.764705882,1,3,2.764705882
16,108,116,5,Neutral,8,48,5,345,12,1,2,48,75,63,63,4,0.422452342,1,1,333,2.996040656,9,1.738547858,-12,-3,12,3,84.01486566,597.003879,601.0204375,604.0037042,611.0202462,1,1,1,0.764705882,0.909090909,3,2.673796791
16,112,117,5,Neutral,9,96,3,228,105,2,1,150,126,78,21,4,0.306370309,1,1,210,1.774952519,96,1.486844191,-18,-9,18,9,112.0142634,618.5034073,622.5199754,632.5197588,625.5199097,1,1,1,0.647058824,0.727272727,3,2.374331551
16,98,118,5,Negative,2,111,1,222,162,2,1,345,108,123,54,1,0.382892711,1,1,210,3.083287219,150,2.75618421,-12,-12,12,12,14.01634323,640.0029425,644.019518,654.0193603,647.0194479,1,1,1,0.764705882,0.636363636,3,2.401069519
16,111,119,5,Negative,5,99,6,114,117,1,2,159,240,45,123,1,0.498554195,1,1,114,2.847613675,123,2.631693599,0,6,0,6,105.0144164,661.5024862,665.5190542,668.5189909,675.5188407,1,1,1,1,0.818181818,3,2.818181818
16,117,120,5,Negative,6,97,2,63,198,1,2,258,195,165,3,1,0.335838484,1,1,45,2.940874186,213,1.724084612,-18,15,18,15,147.0134757,683.0187118,687.0186047,690.0185846,697.0184124,1,1,1,0.647058824,0.545454545,3,2.192513369
16,141,121,6,Negative,3,100,6,252,9,1,2,267,345,15,24,1,0.34447051,1,1,234,2.36535525,6,1.837523588,-18,-3,18,3,147.0134647,188.5126372,192.5124917,195.5124582,202.5122779,1,1,1,0.647058824,0.909090909,3,2.556149733
16,139,122,6,Negative,5,82,4,306,309,2,1,51,210,105,99,1,0.356751968,1,1,297,2.898899052,324,3.482809798,-9,15,9,15,133.0138062,210.0121548,214.0120299,224.0118133,217.0119649,1,1,1,0.823529412,0.545454545,3,2.368983957
16,126,123,6,Neutral,8,22,3,51,87,2,1,309,216,102,129,4,0.489708644,1,1,57,4.646282086,105,3.41515519,6,18,6,18,42.44903782,231.5116944,235.5115706,245.511355,238.5115384,1,1,1,0.882352941,0.454545455,3,2.336898396
16,140,124,6,Negative,2,122,1,342,81,1,2,225,327,117,114,1,0.396235292,1,1,348,2.458517212,66,1.610655559,6,-15,6,15,140.0136591,253.0112491,257.0611575,260.0110821,267.0109219,1,1,1,0.882352941,0.545454545,3,2.427807487
